status,created_at,label
RT @d_seaman: Not financial advice. But I've implored my loved ones and friends to own Bitcoin because I know what is ahead. With absolute…,2017-03-15 18:44:04,pos
New #TatianaShow! @Vaultoro & I were joined by @MadBitcoins for a fun ride on what's happening in #bitcoin today! https://t.co/Bz612dMKV4,2017-03-15 18:44:16,pos
"RT @decredproject: The moment you have all been waiting for is here.  Finally, the @Coinbase video. $Dcr #Decred #blockchain #bitcoin

http…",2017-03-15 18:44:19,pos
Bitcoin: Bit: Bitcoin made easy in Python - https://t.co/DpLQHObNFZ,2017-03-15 18:44:21,pos
"RT @lunomoney: Why Bitcoin adoption is bigger, faster and closer than you think: 

👉  https://t.co/KwVSEaZSPA https://t.co/zIFW1YaQiy",2017-03-15 18:44:23,pos
RT @SatoshiLite: 0-day'ing yourself... #facepalm. “But then it doesn’t help if the software project is not discreet about fixing cri… ,2017-03-15 18:44:25,pos
"this is HUGE! congrats to @_chjj and the @PurseIO team - #bcoin is a big step forward for the #bitcoin ecosystem 
https://t.co/GNmbsCftJK",2017-03-15 18:44:32,pos
I keep getting asked for my Bitcoin address. Support is welcome as ad revenue and Patreon no longer supports core F… https://t.co/ksoQI1D4Ns,2017-03-15 18:44:32,pos
RT @Hardware360Wrld: Explainer: What is Bitcoin? https://t.co/m1KmLEpX0A https://t.co/VC5hjhEmUj,2017-03-15 18:44:35,pos
RT @RandyHilarski: RT @TheDMaximalist: #bitcoin is Neo to the #matrix and the matrix is centralization.  #Bitcoin https://t.co/cPeZ60Kmac,2017-03-15 18:44:50,pos
"RT @decredproject: The moment you have all been waiting for is here.  Finally, the @Coinbase video. $Dcr #Decred #blockchain #bitcoin

http…",2017-03-15 18:44:55,pos
Buy bitcoin in South Africa - here ฿฿฿  Sell/฿uy https://t.co/xep6jCexxa #Bitcoin,2017-03-15 18:44:55,pos
"RT @aantonop: Final chapter of Mastering Bitcoin 2nd Ed. ready for review/comments. This one includes payment channels and LN

https://t.co…",2017-03-15 18:44:57,pos
The latest AlephConZero Paper.li daily! https://t.co/nUlZB9W3WO Thanks to @IslamElhendawy @Shiva_Chiva #cloud #bitcoin,2017-03-15 18:44:18,spam
"We hope you will enjoy our work!
[SING UP! https://t.co/HZBsWVctN7]
#ПАРТНЕРСКАЯ #AFFILIATE #AFILIADOS #MLM #BITCOIN
https://t.co/FxchTahCKW",2017-03-15 18:44:09,spam
BITCOIN https://t.co/lhNBZLC0ks,2017-03-15 18:44:26,spam
#Bitcoin User Base Doubling Every 12 Months: Google Trends @Coinfirm_io @thomaspower @cloudnthings @NickAyton  https://t.co/0R1naRgPe9,2017-03-15 18:44:38,spam
@KimDotcom I have been following your tips on bitcoin. How about Ether? Any insights on the latest rise? Up 200% in 1 month 😎,2017-03-15 18:44:49,spam
